Age,Temp,CO2,CH4,GAST_2.5,GAST,GAST_97.5,Eccentricity,Obliquity,Precession
-709,"-4,0101","221,45","537,91","-4,18","-1,29","1,03","0,03366153376","23,22129159","307,9763575"
-708,"-3,5462","224,01","508,64","-3,62","-1,24","1,08","0,03421458284","23,32294531","325,1681316"
-707,"-3,6876","226,58","537,54","-3,38","-1,2","1,25","0,03468747167","23,42280717","342,1406005"
-706,"-3,5934","228,58",610,"-3,47","-0,98","1,22","0,03516271552","23,51872363","359,2618866"
-705,"-3,21","233,57","597,04","-3,29","-1,22","1,08","0,0355874392","23,60831974","16,11822245"
-704,"-2,8078","231,2","591,13","-3,7","-1,31","0,93","0,03601013479","23,68991333","32,90759018"
-703,"-2,3975","232,41","600,39","-3,88","-1,5","0,94","0,03640915699","23,76194134","49,81725837"
-702,"-2,0671","229,16","582,7","-4,23","-1,72","0,84","0,03675762173","23,82277335","66,45145985"
-701,"-2,2276","227,91","588,59","-4,34","-1,63","0,68","0,03706712903","23,87158114","83,17716225"
-700,"-2,7306","226,51","570,05","-4,38","-1,73","0,54","0,03743062876","23,90755369","99,81729428"
-699,"-2,282","227,1","601,54","-4,09","-1,65","1,01","0,03765119159","23,93022896","116,4356444"
-698,"-1,8764","231,31","604,89","-4,15","-1,55","0,92","0,037913799","23,93962056","133,0699316"
-697,"-1,8557","232,85","621,62","-4,74","-1,99","0,61","0,03815058718","23,93608231","149,6006228"
-696,"-1,7842","235,02","646,68","-5,15","-2,37","0,08","0,03832665822","23,91991588","166,2105436"
-695,"-1,9539","236,87","639,1","-5,02","-2,35","0,25","0,03850065536","23,89205829","182,8529873"
-694,"-1,8373","235,19","614,8","-5,06","-2,31","0,56","0,03861542501","23,85342945","199,3286268"
-693,"-1,8609","234,78","600,71","-4,91","-2,51","-0,33","0,03877521529","23,80505575","216,0318807"
-692,"-2,6304","235,66","569,83","-5,59","-2,76","-0,29","0,03883105655","23,74829198","232,6381507"
-691,"-2,5617",234,"571,23","-5,5","-3,03","-0,65","0,03888330847","23,68440748","249,2265855"
-690,"-3,0987","236,14","554,66","-5,69","-2,98","-0,53","0,03896291271","23,61468854","265,9517767"
-689,"-3,6223","235,15","547,09","-6,16","-3,49","-1,07","0,03897414976","23,54071916","282,5993598"
-688,"-3,4516","232,45","528,15","-6,23","-3,62","-1,13","0,03894244519","23,46393007","299,3464231"
-687,"-3,9477","228,07","529,37","-6,66","-3,64","-1,2","0,03895961285","23,38582026","316,0097301"
-686,"-4,5188","224,4","515,13","-6,37","-3,65","-1,34","0,03891447106","23,30803729","332,8005497"
-685,"-4,689","219,54","518,02","-6,31","-3,74","-1,26","0,0387989098","23,23222869","349,5689121"
-684,"-5,3422","217,5","498,89","-6,42","-3,76","-1,3","0,03875913332","23,15982578","6,28546698"
-683,"-5,2268","220,06","517,9","-6,75","-3,77","-0,97","0,03858301453","23,09238297","23,11821508"
-682,"-5,9626","220,43","493,02","-6,94","-3,86","-1,34","0,0384564931","23,03125719","39,9251421"
-681,"-7,329","216,34","487,84","-6,82","-4,01","-1,1","0,03824082267","22,97749067","56,72647956"
-680,"-6,3048","224,54","450,14","-7,31","-3,95","-1,32","0,03802146622","22,93219711","73,53388311"
-679,"-4,886","230,67","497,78","-6,78","-3,97","-1,27","0,03780495512","22,89603659","90,40405483"
